Acheron|(Greek mythology) a river in Hades across which the souls of the dead were carried by Charon
Kodiak|an island off southern Alaska in the Gulf of Alaska; site of the first European settlement in the area which was founded by the Russians in 1784
Korea Bay|an inlet of the Yellow Sea between the Liaodong Peninsula in China and western Korea
Korean Strait|a strait between Korea and Japan; connects the East China Sea and the Sea of Japan
Kuiper belt|a disk-shaped region of minor planets outside the orbit of Neptune
Kuiper belt object|any of many minor planets in the Kuiper belt outside the orbit of Neptune at the edge of the solar system
Kunlun|a mountain range in western China that extends eastward from the Indian border for 1000 miles
Kura|a river in western Asia; rises in northeast Turkey and flows to the Caspian Sea
Labrador-Ungava Peninsula|a peninsular region of eastern Canada between Hudson Bay and the Labrador Sea; contains most of Quebec and the mainland part of Newfoundland and Labrador
Labrador Sea|an arm of the northern Atlantic between Labrador and southern Greenland
Lake Albert|a shallow lake on the border between Uganda and Congo in the Great Rift Valley
Lake Aral|a lake to the east of the Caspian Sea lying between Kazakhstan and Uzbekistan
Lake Chad|a lake in north central Africa; fed by the Shari river
Lake Champlain|a lake in northeastern New York, northwestern Vermont and southern Quebec; site of many battles in the French and Indian War and in the American Revolution and in the War of 1812
Lake Edward|a lake in the Great Rift Valley between Congo and Uganda
Lake Erie|the 4th largest of the Great Lakes; it is linked to the Hudson River by the New York State Barge Canal
Lake Geneva|a lake between southwestern Switzerland and France that is crossed from east to west by the Rhone
Lake Huron|the 2nd largest of the Great Lakes
Lake Ilmen|a lake in northwestern Russia; drains through the Volkhov River into Lake Ladoga
Lake Ladoga|a lake in northwestern Russia to the north of St. Petersburg; the largest lake in Europe; drains through the Neva River into the Gulf of Finland
Lake Michigan|the 3rd largest of the Great Lakes; the largest freshwater lake entirely within the United States borders
Lake Nasser|lake in Egypt formed by dams built on the Nile River at Aswan
Lake Nyasa|a long lake in southeastern Africa between Tanzania, Mozambique, and Malawi
Lake Onega|lake in northwestern Russia near the border with Finland; second largest lake in Europe
Lake Ontario|the smallest of the Great Lakes
Lake St. Clair|a lake between Ontario and Michigan; connected with Lake Huron and Lake Erie
Lake Superior|the largest freshwater lake in the world; the deepest of the Great Lakes
Lake Tana|a lake in northern Ethiopia; the largest lake in Ethiopia and the source of the Blue Nile
Lake Tanganyika|the longest lake in the world in central Africa between Tanzania and Congo in the Great Rift Valley
Lake Urmia|a shallow saline lake in northwestern Iran between Tabriz and the western border of Turkey
Lake Vanern|a lake in southwestern Sweden; the largest lake in Sweden
Lake Victoria|the largest lake in Africa and the 2nd largest fresh water lake in the world; a headwaters reservoir for the Nile River
Laptev Sea|part of the Arctic Ocean to the north of Siberia (between the Taimyr Peninsula and the New Siberian Islands) that is icebound most of the year
Large Magellanic Cloud|the larger of the two Magellanic Clouds visible from the southern hemisphere
Lascaux|a cave in southwestern France that contains Paleolithic paintings
Laudo|a mountain peak in the Andes in Argentina (20,997 feet high)
Laurasia|a hypothetical continent that (according to plate tectonic theory) broke up later into North America and Europe and Asia
Lehigh River|a river in eastern Pennsylvania that flows southeast into the Delaware River
Lena|a Russian river in Siberia; flows northward into the Laptev Sea
Leo|a zodiacal constellation in northern hemisphere between Cancer and Virgo
Lepus|a constellation in the southern hemisphere near Orion and Columba
Lethe|(Greek mythology) a river in Hades; the souls of the dead had to drink from it, which made them forget all they had done and suffered when they were alive
Lhotse|a mountain in the central Himalayas on the border of Tibet and Nepal (27,890 feet high)
Liaodong Peninsula|a peninsula in northeastern China that extends into the Yellow Sea, between Bo Hai and Korea Bay
Libra|a small faint zodiacal constellation in the southern hemisphere; between Virgo and Scorpius
Ligurian Sea|an arm of the Mediterranean between northwest Italy and Corsica
Limpopo|an African river; flows into the Indian Ocean
Little Bear|a constellation outside the zodiac that rotates around the North Star
Little Bighorn|a river that flows from northern Wyoming into the Bighorn River in southern Montana; site of Custer's Last Stand
Little Dipper|a cluster of seven stars in Ursa Minor; at the end of the dipper's handle is Polaris
Little Missouri|a river that rises in northeastern Wyoming and flows through Montana and South Dakota to join the Missouri River in North Dakota
Little Sioux River|a river that rises in southwestern Minnesota and flows southwestward to the Missouri River in western Iowa
Little Wabash|a river in eastern Illinois that flows southeastward to the Wabash River
Llano Estacado|a large semiarid plateau forming the southern part of the Great Plains
Llullaillaco|a mountain in the Andes on the border between Argentina and Chile (22,057 feet high)
Loch Achray|a lake in central Scotland
Loch Linnhe|an inlet of the Atlantic Ocean on the western coast of Scotland
Loch Ness|a lake in the Scottish highlands; the largest body of fresh water in Great Britain
Logan|a mountain peak in the St. Elias Range in the southwestern Yukon Territory in Canada (19,850 feet high)
Loire|the longest French river; rises in the Massif Central and flows north and west to the Atlantic Ocean
Loire Valley|the valley of the Loire River where many French wines originated
Long Island Sound|a sound between Long Island and Connecticut
Lower California|a mountainous peninsula on northwest Mexico
Lower Peninsula|the part of Michigan between Lake Michigan and Lake Huron
Lupus|a constellation in the southern hemisphere near Centaurus
Lyra|a small constellation in the northern hemisphere near Cygnus and Draco; contains the star Vega
Mackenzie|a Canadian river; flows into the Beaufort Sea
Madeira|a Brazilian river; tributary of the Amazon River
Magdalena|a river that rises in the Andes mountains in southwestern Colombia and flows generally northward to empty into the Caribbean Sea at Barranquilla
Magellanic Cloud|either of two small galaxies orbiting the Milky Way; visible near the south celestial pole
Makalu|a mountain in the Himalayas in Nepal (27,790 feet high)
Marmara|an inland sea in northwestern Turkey; linked to the Black Sea by the Bosporus and linked to the Aegean by the Dardanelles
Mars|a small reddish planet that is the 4th from the sun and is periodically visible to the naked eye; minerals rich in iron cover its surface and are responsible for its characteristic color; "Mars has two satellites"
Massachusetts Bay|an inlet of the Atlantic Ocean off of eastern Massachusetts extending from Cape Ann on the north to Cape Cod on the south
Massif Central|a mountainous plateau in southern France that covers almost one sixth of the country
Matterhorn|a mountain in the Alps on the border between Switzerland and Italy (14,780 feet high); noted for its distinctive shape
McKinley|a mountain in south central Alaska; the highest peak in North America (20,300 feet high)
Mediterranean|the largest inland sea; between Europe and Africa and Asia
Mekong|an Asian river; flows through a large delta in southern Vietnam into the South China Sea
Menai Strait|a strait in northern Wales between Anglesey Island and the mainland
Mendenhall Glacier|a glacier of the Piedmont type near Juneau in Alaska
Mensa|a faint constellation in the polar region of the southern hemisphere and containing part of the Large Magellanic Cloud
Mercedario|a mountain in the Andes in Argentina (22,210 feet high)
Mercury|the smallest planet and the nearest to the sun
Merrimack|a river that rises in south central New Hampshire and flows through Concord and Manchester into Massachusetts and empties into the Atlantic Ocean
Mesabi Range|a range of hills in northeastern Minnesota where rich iron ore deposits were discovered in 1887
Meuse|a European river; flows into the North Sea
Microscopium|a faint constellation in the southern hemisphere near Sagittarius and Capricornus
Mid-Atlantic Ridge|a very long narrow elevation on the ocean floor that runs all the way from Iceland in the North Atlantic to Bouvet Island in the South Atlantic
Milk|a river that rises in the Rockies in northwestern Montana and flows eastward to become a tributary of the Missouri River
Milky Way|the galaxy containing the solar system; consists of millions of stars that can be seen as a diffuse band of light stretching across the night sky
Minamata Bay|a bay on the west coast of Kyushu; in the 1950s industrial wastes caused mercury poisoning among the Japanese people who ate fish from Minamata Bay
Mississippi|a major North American river and the chief river of the United States; rises in northern Minnesota and flows southward into the Gulf of Mexico
Missouri|the longest river in the United States; arises in Montana and flows southeastward to become a tributary of the Mississippi at Saint Louis; "The Missouri and Mississippi Rivers together form the third longest river in the world"
Mobile|a river in southwestern Alabama; flows into Mobile Bay
Mobile Bay|a bay of the Gulf of Mexico; fed by the Mobile River
Mohawk River|a river of central New York that flows southeastward to the Hudson River
Mohorovicic discontinuity|the boundary between the Earth's crust and the underlying mantle; "the Mohorovicic discontinuity averages 5 miles down under oceans and 20 miles down under continents"
Monongahela|a river that rises in northern West Virginia and flows north into Pennsylvania where it joins the Allegheny River at Pittsburgh to form the Ohio River
Mont Blanc|the highest mountain peak in the Alps; on the border between France and Italy to the south of Geneva (15,781 feet high)
Monterey Bay|an inlet of the Pacific Ocean in western California
Moon|the natural satellite of the Earth; "the average distance to the Moon is 384,400 kilometers"; "men first stepped on the moon in 1969"
Moray Firth|an inlet of the North Sea on the northeast coast of Scotland
Moreau River|a river that rises in western South Dakota and flows eastward to the Missouri River
Moreton Bay|an arm of the Tasman Sea forming a bay to the east of Brisbane
Mount Bartle Frere|the highest mountain peak in Queensland, Australia
Mount Carmel|a mountain range in northwestern Israel near the Mediterranean coast; "according to the Old Testament, Elijah defeated the priests of Baal at Mount Carmel"
Mount Elbert|the highest peak in the Rocky Mountains in central Colorado (14,431 feet high)
Mozambique Channel|an arm of the Indian Ocean between Madagascar and southeastern Africa
Murray|a southeast Australian river; flows westward and then south into the Indian Ocean at Adelaide
Murrumbidgee|a river of southeastern Australia; flows westward into the Murray River
Musca|a small constellation in the polar region of the southern hemisphere near the Southern Cross and Chamaeleon
Muztag|a highest mountain peak in the Kunlun Shan in China; near the Indian border (23,891 feet high)
Nacimiento|a mountain peak in the Andes in Argentina (21,302 feet high)
Namoi|a river in southeastern Australia that flows generally northwest to join the Darling River
Nan|a river of western Thailand flowing southward to join the Ping River to form the Chao Phraya
Nanda Devi|a mountain in the Himalayas in northern India (25,660 feet high)
Nanga Parbat|a mountain in the Himalayas in Kashmir (26,660 feet high)
Nan Ling|a mountain range in southeastern China running generally east to west
Nares Deep|a depression in the floor of the Atlantic Ocean to the north of Haiti and Puerto Rico
Narragansett Bay|a deep inlet of the Atlantic Ocean in Rhode Island
Neckar|a river in Germany; rises in the Black Forest and flows north into the Rhine
Neosho|a river that rises in eastern Kansas and flows eastward into Oklahoma to become a tributary of the Arkansas River
Neptune|a giant planet with a ring of ice particles; the 8th planet from the sun is the most remote of the gas giants; "the existence of Neptune was predicted from perturbations in the orbit of Uranus and it was then identified in 1846"
Neva|a river in northwestern Russia flowing generally west into the Gulf of Finland
New River|a river in the southeastern United States that flows northward from North Carolina to West Virginia where it empties into the Kanawha River
New York Bay|a bay of the North Atlantic; fed by the Hudson River
Niagara|a river flowing from Lake Erie into Lake Ontario; forms boundary between Ontario and New York
Niagara|waterfall in Canada is the Horseshoe Falls; in the United States it is the American Falls
Niger|an African river; flows into the South Atlantic
Nile|the world's longest river (4150 miles); flows northward through eastern Africa into the Mediterranean; the Nile River valley in Egypt was the site of the world's first great civilization
Niobrara|a tributary of the Missouri River
Norma|a small constellation in the southern hemisphere near Lupus and Ara in the Milky Way
North America|a continent (the third largest) in the western hemisphere connected to South America by the Isthmus of Panama
North Atlantic|that part of the Atlantic Ocean to the north of the equator
North Channel|a strait between Northern Ireland and Scotland that connects the Atlantic Ocean and the Irish Sea
Northern Cross|a cluster of 5 bright stars forming a cross in the constellation Cygnus
North Pacific|that part of the Pacific Ocean to the north of the equator
North Peak|19,370 feet high
North Platte|a river that rises in northern Colorado and flows northward into Wyoming and then eastward and southeastward through Nebraska where it joins the South Platte to form the Platte River
North Sea|an arm of the North Atlantic between the British Isles and Scandinavia; oil was discovered under the North Sea in 1970
Norwegian Sea|the part of the Atlantic that lies off the Norwegian coast to the north of the North Sea
Nuptse|a mountain in the central Himalayas on the border of Tibet and Nepal (25,726 feet high)
Ob|a major river of western Siberia; flows generally northward and westward to the Gulf of Ob and the Kara Sea
Octans|the constellation that includes the southern celestial pole
Oder|a European river; flows into the Baltic Sea
Ohio|a river that is formed in western Pennsylvania and flows westward to become a tributary of the Mississippi River
Ojos del Salado|a mountain in the Andes on the border between Argentina and Chile (22,572 feet high)
Okeechobee|a lake in southeast Florida to the north of the Everglades
Okefenokee Swamp|a large swampy area of northeast Florida and southeast Georgia
Old Faithful|a geyser in Yellowstone National Park that erupts for about 4 minutes about every 65 minutes
Olduvai Gorge|a gorge in northeastern Tanzania where anthropologists have found some of the earliest human remains
Olympus|a mountain peak in northeast Greece near the Aegean coast; believed by ancient Greeks to be the dwelling place of the gods (9,570 feet high)
Omega Centauri|a global cluster in the constellation Centaurus
Ophiuchus|a large constellation in the equatorial region between Hercules and Scorpius
Orange|a river in South Africa that flows generally westward to the Atlantic Ocean
Orinoco|a South American river 1,500 miles long; flows into the South Atlantic
Orion|a constellation on the equator to the east of Taurus; contains Betelgeuse and Rigel
Osage|a river in Missouri that is a tributary of the Missouri River
Osaka Bay|a bay of the western Pacific in southern Honshu
Outaouais|a river in southeastern Canada that flows along the boundary between Quebec and Ontario to the Saint Lawrence River near Montreal
Ouachita|a river that rises in western Arkansas and flows southeast into eastern Louisiana to become a tributary of the Red River
Ouse|a river in northeastern England that flows generally southeastward to join the Trent River and form the Humber
Ozarks|an area of low mountains in northwestern Arkansas and southeastern Missouri and northeastern Oklahoma
Pacific|the largest ocean in the world
Pacific Coast|a coast of the Pacific Ocean
Pallas|a large asteroid; the second asteroid to be discovered
Pamir Mountains|a mountain range in central Asia that is centered in Tajikistan but extends into Kyrgyzstan and Afghanistan and Pakistan and western China
Pangaea|(plate tectonics) a hypothetical continent including all the landmass of the earth prior to the Triassic period when it split into Laurasia and Gondwanaland
Para|an estuary in northern Brazil into which the Tocantins River flows
Parana|a South American river; tributary of Rio de la Plata
Parnaiba|a river in northeastern Brazil that flows generally northward to the Atlantic Ocean
Parnassus|(Greek mythology) a mountain in central Greece where (according to Greek mythology) the Muses lived; known as the mythological home of music and poetry; "Liakoura is the modern name of Mount Parnassus"
Paulo Afonso|a major waterfall in northeastern Brazil
Pavo|a small constellation near the South Pole between Tucana and Ara
Pearl River|a river in Mississippi that flows southward to the Gulf of Mexico
Pecos|a tributary of the Rio Grande that flows southeastward from New Mexico through western Texas
Pee Dee|a river that flows through central North Carolina and northeastern South Carolina to the Atlantic Ocean
Pegasus|a constellation in the northern hemisphere near Andromeda and Pisces
Penobscot|a river in central Maine flowing into Penobscot Bay
Penobscot Bay|an inlet of the Atlantic in eastern Maine
Perejil|a small uninhabited Mediterranean islet claimed by both Morocco and Spain
Perseus|a conspicuous constellation in the northern hemisphere; between Auriga and Cassiopeia and crossed by the Milky Way
Persian Gulf|a shallow arm of the Arabian Sea between Iran and the Arabian peninsula; the Persian Gulf oil fields are among the most productive in the world
Phobos|the larger of the two satellites of Mars
Phoenix|a constellation in the southern hemisphere near Tucana and Sculptor
Pictor|a constellation in the southern hemisphere near Dorado and Columba
Piedmont glacier|a type of glaciation characteristic of Alaska; large valley glaciers meet to form an almost stagnant sheet of ice
Pike's Peak|a mountain peak in the Rockies in central Colorado (14,109 feet high)
Pillars of Hercules|the two promontories at the eastern end of the Strait of Gibraltar; according to legend they were formed by Hercules
Ping|a river in western Thailand; a major tributary of the Chao Phraya
Pisces|a large faint zodiacal constellation; between Aquarius and Aries
Pissis|a mountain in the Andes in Argentina (22,241 feet high)
Platte|a river in Nebraska that flows eastward to become a tributary of the Missouri River
Pleiades|a star cluster in the constellation Taurus
Pluto|a large asteroid that was once thought to be the farthest known planet from the sun; it has an elliptical orbit; "Pluto was discovered by Clyde Tombaugh in 1930"
Po|a European river; flows into the Adriatic Sea
Pobeda Peak|a mountain peak in the Tien Shan mountains in northern India (24,406 feet high)
Polaris|the brightest star in Ursa Minor; at the end of the handle of the Little Dipper; the northern axis of the earth points toward it
Pollux|the brightest star in Gemini; close to Castor
Potomac|a river in the east central United States; rises in West Virginia in the Appalachian Mountains and flows eastward, forming the boundary between Maryland and Virginia, to the Chesapeake Bay
Poyang|a lake in central China that is connected to the Chang Jiang by a canal
Procyon|the brightest star in Canis Minor
Proxima|the nearest star to the sun; distance: 4.3 light years
Prudhoe Bay|a bay on the northern coast of Alaska where oil was discovered in 1968
Puget Sound|an inlet of the North Pacific in northwestern Washington State
Puppis|a constellation in the southern hemisphere between Vela and Canis Major that shaped like the stern of a boat
Purus|a Brazilian river; tributary of the Amazon River
Pyrenees|a chain of mountains between France and Spain
Pyxis|a constellation in the southern hemisphere near Puppis and Antlia
Quaoar|a planetoid discovered in 2002
Queen Charlotte Sound|an inlet of the Pacific Ocean off the coast of British Columbia
Rakaposhi|a mountain peak in the Karakoram Range in northern Kashmir (25,560 feet high)
Rainier|a mountain peak in central Washington; highest peak in the Cascade Range; (14,410 feet high)
Rappahannock|a river that flows across eastern Virginia into the Tidewater region
Red|a tributary of the Mississippi River that flows eastward from Texas along the southern boundary of Oklahoma and through Louisiana
Red Sea|a long arm of the Indian Ocean between northeast Africa and Arabia; linked to the Mediterranean at the north end by the Suez Canal
Regulus|the brightest star in Leo
Republican|a tributary of the Kansas River that flows from eastern Colorado eastward through Nebraska and Kansas
Reticulum|a small constellation in the southern hemisphere near Dorado and Hydrus
Rhine|a major European river carrying more traffic than any other river in the world; flows into the North Sea
Rhodope Mountains|a mountain range in the Balkan peninsula in southeastern Europe; extends along the border between Greece and Bulgaria
Rhone|a major French river; flows into the Mediterranean near Marseilles; "the valley of the Rhone is famous for its vineyards"
Rigel|the brightest star in Orion
Rio de la Plata|an estuary between Argentina and Uruguay
Rio Grande|a North American river; boundary between the United States and Mexico; flows into Gulf of Mexico
Rockies|the chief mountain range of western North America; extends from British Columbia to northern New Mexico; forms the continental divide
Ross Sea|an arm of the southern Pacific Ocean in Antarctica
Ruhr|a tributary of the Rhine
Rushmore|a mountain in the Black Hills of South Dakota; the likenesses of Washington and Jefferson and Lincoln and Roosevelt are carved on it
Russell's body|an inclusion body found in plasma cells in cases of cancer
Russian River|a river in northern California
Saale|a river that rises in central Germany and flows north to join the Elbe River
Sabine|a river in eastern Texas that flows south into the Gulf of Mexico
Sacramento Mountains|mountain range in New Mexico to the east of the Rio Grande
Sacramento River|a river in northern California rising near Mount Shasta and flowing south to the San Francisco Bay
Sagitta|a small constellation in the northern hemisphere between Cygnus and Aquila and crossed by the Milky Way
Sagittarius|a large zodiacal constellation in the southern hemisphere; between Scorpius and Capricornus
Saint Francis|a tributary of the Mississippi River that rises in Missouri and flows southeastward through Arkansas
Saint John|a river that rises in Maine and flows northeastward through New Brunswick to empty into the Bay of Fundy
Saint Johns|a river in northeastern Florida that flows northward to Jacksonville and then eastward to empty into the Atlantic Ocean
Saint Lawrence|a North American river; flows into the Gulf of Saint Lawrence and the North Atlantic
Sajama|a mountain peak in the Andes in Bolivia (21,391 feet high)
Salmon|a tributary of the Snake River in Idaho
Salton Sea|a saltwater lake in southeastern California
Sambre|a river in western Europe that rises in northern France and flows generally east into Belgium where it joins the Meuse at Namur
San Andreas Fault|a major geological fault in California; runs from San Diego to San Francisco; the source of serious earthquakes
San Diego Bay|a bay of the Pacific in southern California
San Fernando Valley|a fertile valley in southern California to the north of Los Angeles; includes many residential communities
San Francisco Bay|a bay of the Pacific in western California
San Joaquin River|a river in central California that rises in the Sierra Nevada and flows northwest to form a large delta with the Sacramento River
San Joaquin Valley|a vast valley in central California known for its rich farmland
San Juan Hill|a hill in eastern Cuba (near Santiago de Cuba) that was captured during the Spanish-American War; "Theodore Roosevelt and his Rough Riders became famous for their charge up San Juan Hill"
San Juan Mountains|a mountain range in southwestern Colorado that is part of the Rocky Mountains
Sao Francisco|a river in eastern Brazil flowing into the Atlantic Ocean
Saone|a river in eastern France; rises in Lorraine and flows south to become the chief tributary of the Rhone
Sargasso Sea|a vast area of the North Atlantic from the West Indies to the Azores that is dense with gulfweed
Saronic Gulf|a gulf of the Aegean on the southeastern coast of Greece
Saturn|a giant planet that is surrounded by three planar concentric rings of ice particles; the 6th planet from the sun
Savannah|a river in South Carolina that flows southeast to the Atlantic
Sayan Mountains|a range of mountains in southern Siberia to the west of Lake Baikal; contain important mineral deposits
Scheldt|a river that rises in France and flows northeast across Belgium and empties into the North Sea
Scorpius|a large zodiacal constellation between Libra and Sagittarius
Sculptor|a faint constellation in the southern hemisphere near Phoenix and Cetus
Sea of Azov|a bay of the Black Sea between Russia and the Ukraine
Sea of Japan|an arm of the Pacific bordered by Japan, Korea, North Korea, and Russia
Sea of Okhotsk|an arm of the Pacific to the east of Asia
Sedna|a planetoid of rock and ice about three-quarters the size of Pluto discovered in 2003; the most distant object known to orbit around the sun
Seine|a French river that flows through the heart of Paris and then northward into the English Channel
Selkirk Mountains|a range of the Rocky Mountains in southeastern British Columbia
Seneca Lake|a glacial lake in central New York; the largest of the Finger Lakes
Serpens|a constellation in the equatorial region of the northern hemisphere near Ophiuchus and Corona Borealis
Sete Quedas|a great waterfall on the border between Brazil and Paraguay
Severn|a river in England and Wales flowing into the Bristol Channel; the longest river in Great Britain
Severn|a river in Ontario that flows northeast into Hudson Bay
Seyhan|a Turkish river flowing south southwest into the Mediterranean
Shari|an African river that flows northwest into Lake Chad
Shasta|a volcanic mountain peak in the Cascade Range in northern California (14,162 feet high)
Shenandoah River|a river of northern Virginia that empties into the Potomac at Harpers Ferry
Sherman|a peak in the Rocky Mountains in central Colorado (14,036 feet high)
Shenandoah Valley|a large valley between the Allegheny Mountains and the Blue Ridge Mountains in northern Virginia; site of numerous battles during the American Civil War
Sherwood Forest|an ancient forest in central England; formerly a royal hunting ground; said to be the home of Robin Hood and his merry band
Sierra Madre Occidental|a mountain range in northwestern Mexico that runs south from Arizona parallel to the Pacific coastline
Sierra Madre Oriental|a mountain range in northeastern Mexico the runs parallel to the coastline of the Gulf of Mexico
Sierra Nevada|a mountain range in eastern California; contains Mount Whitney
Sierra Nevada|a mountain range in southern Spain along the Mediterranean coast to the east of Granada
Sinai|a mountain peak in the southern Sinai Peninsula (7,500 feet high); it is believed to be the peak on which Moses received the Ten Commandments
Sirius|the brightest star in the sky; in Canis Major
Skagens Odde|a cape on the northernmost tip of Jutland between the Skagerrak and the Kattegatt
Skagerrak|a broad strait of the North Sea between Jutland and Norway
Small Magellanic Cloud|the smaller of the two Magellanic Clouds visible from the southern hemisphere
Snake|a tributary of the Columbia River that rises in Wyoming and flows westward; discovered in 1805 by the Lewis and Clark Expedition
Solent|a strait of the English Channel between the coast of Hampshire and the Isle of Wight
Solway Firth|a large firth on the west coast of Britain between England and Scotland
South America|a continent in the western hemisphere connected to North America by the Isthmus of Panama
South Atlantic|that part of the Atlantic Ocean to the south of the equator
South China Sea|a tropical arm of the Pacific Ocean near southeastern Asia subject to frequent typhoons
Southern Cross|a small conspicuous constellation in the southern hemisphere in the Milky Way near Centaurus
South Pacific|that part of the Pacific Ocean to the south of the equator
South Platte|a tributary of the Platte River
South Sea|any sea to the south of the equator (but especially the South Pacific)
South Sea Islands|any islands in the southern or southwestern of central parts of the Pacific Ocean
Spica|the brightest star in Virgo
St. Elias Range|a range of mountains between Alaska and the Yukon territory
Sterope|one of the stars in the star cluster Pleiades
Strait of Georgia|the strait separating Vancouver Island from the Canadian mainland
Strait of Gibraltar|the strait between Spain and Africa
Strait of Hormuz|a strategically important strait linking the Persian Gulf and the Gulf of Oman
Strait of Magellan|the strait separating South America from Tierra del Fuego and other islands to the south of the continent; discovered by Ferdinand Magellan in 1520; an important route around South America before the Panama Canal was built
Strait of Messina|the strait separating Sicily from the tip of Italy
Strait of Dover|the strait between the English Channel and the North Sea; shortest distance between England and the European continent
Strait of Malacca|the strait between the Malay Peninsula and Sumatra; it connects the Pacific Ocean to the east with the Indian Ocean to the west and is an important shipping lane
Styx|(Greek mythology) a river in Hades across which Charon carried dead souls
Sun River|a river in western Montana that flows south and east to join the Missouri River
Suriname River|a river in Suriname that flows northward to the Atlantic
Susquehanna|a river in the northeastern United States that rises in New York and flows southward through Pennsylvania and Maryland into Chesapeake Bay
Taconic Mountains|a range of the Appalachian Mountains along the eastern border of New York with Connecticut, Massachusetts, and Vermont
Tagus|a European river; flows into the North Atlantic
Takakkaw|a waterfall in southeastern British Columbia; the highest waterfall in Canada (1250 feet high)
Tallapoosa|river that rises in northwestern Georgia and flows southwest through central Alabama to join the Coosa River near Montgomery and form the Alabama River
Tampa Bay|an arm of the Gulf of Mexico in west central Florida
Tasman Sea|an arm of the southern Pacific Ocean between southeastern Australia and New Zealand
Taurus|a zodiacal constellation in the northern hemisphere near Orion; between Aries and Gemini
Telescopium|a small constellation in the southern hemisphere near Ara
Tennessee|a river formed by the confluence of two other rivers near Knoxville; it follows a U-shaped course to become a tributary of the Ohio River in western Kentucky
Teton Range|a mountain range in northwest Wyoming; contains the Grand Teton
Thames|the longest river in England; flows eastward through London to the North Sea
Tiber|a river of central Italy; flows through Rome to the Tyrrhenian Sea
Tien Shan|a major mountain range of central Asia; extends 1,500 miles
Tigris|an Asian river; a tributary of the Euphrates River
Timor Sea|an arm of the eastern Indian Ocean between Timor and northern Australia
Tirich Mir|a mountain in the Hindu Kush in Pakistan (25,230 feet high)
Titan|the largest of the satellites of Saturn; has a hazy nitrogen atmosphere
Tocantins|a river in eastern Brazil that flows generally north to the Para River
Tombigbee|a river that rises in northeastern Mississippi and flows southward through western Alabama to join the Alabama River and form the Mobile River
Torres Strait|a strait between northeastern Australia and southern New Guinea that connects the Coral Sea with the Arafura Sea
Transylvanian Alps|a range of the southern Carpathian Mountains extending across central Romania
Trapezium|a multiple star in the constellation of Orion
Trent|a river in central England that flows generally northeastward to join with the Ouse River and form the Humber
Triangulum|a small northern constellation near Perseus between Andromeda and Aries
Triangulum Australe|a small bright constellation in the polar region of the southern hemisphere near Circinus and Apus
Trinity River|a river in eastern Texas that is formed near Dallas and flows generally southeastward to Galveston Bay
Triton|the largest moon of Neptune
Trondheim Fjord|a long narrow inlet of the Norwegian Sea
Tucana|a large faint constellation in the southern hemisphere containing most of the Small Magellanic Cloud
Tugela|a major waterfall in southern Africa; has more than one leap
Tunguska|a river that arises to the north of Lake Baikal and flows north and west to the Yenisei River
Tunguska|a river in Siberia that flows northwest to become a tributary of the Yenisei River
Tupungato|a mountain in the Andes on the border between Argentina and Chile (22,310 feet high)
Twin|a waterfall in the Snake River in southern Idaho
Tyrolean Alps|a popular tourist area in the Tyrol
Tyne|a river in northern England that flows east to the North Sea
Tyrrhenian Sea|an arm of the Mediterranean between Italy and the islands of Corsica and Sardinia and Sicily
Ulugh Muztagh|a mountain in the Kunlun range in China (25,340 feet high)
Uncompahgre Peak|the highest peak in the San Juan Mountains of southwestern Colorado (14,309 feet high)
United States waters|territorial waters included within a distance of 12 nautical miles of the coasts of the United States and its territories; "ships operating in United States waters must adhere to United States laws and regulations"
Upper Peninsula|the peninsula between Lake Superior and Lake Michigan that forms the northwestern part of Michigan
Urals|a mountain range in western Russia extending from the Arctic to the Caspian Sea; forms part of the traditional boundary between Europe and Asia
Uranus|a giant planet with a ring of ice particles; the 7th planet from the sun has a blue-green color and many satellites; "Uranus was discovered by William Herschel in 1781"
Urubupunga|a waterfall in the Parana river in Brazil
Uruguay River|a South American river that arises in southern Brazil and flows south to the Rio de la Plata; the northern section forms the boundary between Argentina and Brazil and the southern section forms the boundary between Argentina and Uruguay
Vega|the brightest star in the constellation Lyra
Vela|a constellation in the southern hemisphere between Carina and Pyxis; "because of its configuration Vela is sometimes called `the Sails'"
Venus|the second nearest planet to the sun; it is peculiar in that its rotation is slow and retrograde (in the opposite sense of the Earth and all other planets except Uranus); it is visible from Earth as an early `morning star' or an `evening star'; "before it was known that they were the same object the evening star was called Venus and the morning star was called Lucifer"
Vesta|the brightest asteroid but the fourth to be discovered
Vetluga|a river in central Russia; flows generally southward into the Volga
Victoria|a waterfall in the Zambezi River on the border between Zimbabwe and Zambia; diminishes seasonally
Virgo|a large zodiacal constellation on the equator; between Leo and Libra
Vistula|a European river; flows into the Baltic Sea
Volans|a small constellation in the polar region of the southern hemisphere near Dorado and Carina
Volga|a Russian river; the longest river in Europe; flows into the Caspian Sea
Volkhov|a river in northwestern Russia flowing generally north into Lake Ladoga
Volta|a river in Ghana that flows south to the Bight of Benin
Vulpecula|a constellation in the northern hemisphere near Cygnus and Sagitta
Wabash|a tributary of the Ohio River that rises in western Ohio and flows southwestward across Indiana
Weddell Sea|an arm of the south Atlantic in Antarctica to the east of the Antarctic Peninsula
Weisshorn|a mountain in the Alps in Switzerland (14,804 feet high)
Weser|a river in northwestern Germany that flows northward to the North Sea near Bremerhaven
